gene_identifier	macM	macF	mouse	pig	human
gene_2433	LRRC57	LRRC57	Lrrc57	LRRC57	LRRC57
gene_2434	MMP7	MMP7	Mmp7	MMP7	MMP7
gene_2435	EMID1	EMID1	Emid1	EMID1	EMID1
gene_2436	SLCO4C1	SLCO4C1	Slco4c1	SLCO4C1	SLCO4C1
gene_2437	SLC35F2	SLC35F2	Slc35f2	SLC35F2	SLC35F2
gene_2438	DNAAF4	DNAAF4	Dnaaf4	DNAAF4	DNAAF4
gene_2439	ITIH4	ITIH4	Itih4	ITIH4	ITIH4
gene_2440	ST8SIA4	ST8SIA4	St8sia4	ST8SIA4	ST8SIA4
gene_2441	UROS	UROS	Uros	UROS	UROS
gene_2442	GK2	GK2	Gk2	GK2	GK2
gene_2443	RELCH	RELCH	Relch	RELCH	RELCH
gene_2444	NUDT9	NUDT9	Nudt9	NUDT9	NUDT9
gene_2445	RNF19A	RNF19A	Rnf19a	RNF19A	RNF19A
gene_2446	MMP20	MMP20	Mmp20	MMP20	MMP20
gene_2447	SLC1A4	SLC1A4	Slc1a4	SLC1A4	SLC1A4
gene_2448	RAB2A	RAB2A	Rab2a	RAB2A	RAB2A
gene_2449	NTF3	NTF3	Ntf3	NTF3	NTF3
gene_2450	EPHA2	EPHA2	Epha2	EPHA2	EPHA2
gene_2451	MINAR2	MINAR2	Minar2	MINAR2	MINAR2
gene_2452	RELT	RELT	Relt	RELT	RELT
gene_2453	IPO8	IPO8	Ipo8	IPO8	IPO8
gene_2454	RHBDD3	RHBDD3	Rhbdd3	RHBDD3	RHBDD3
gene_2455	PRDM8	PRDM8	Prdm8	PRDM8	PRDM8
gene_2456	ARHGEF19	ARHGEF19	Arhgef19	ARHGEF19	ARHGEF19
gene_2457	GMEB2	GMEB2	Gmeb2	GMEB2	GMEB2
gene_2458	USP34	USP34	Usp34	USP34	USP34
gene_2459	STK3	STK3	Stk3	STK3	STK3
gene_2460	TMEM135	TMEM135	Tmem135	TMEM135	TMEM135
gene_2461	EWSR1	EWSR1	Ewsr1	EWSR1	EWSR1
gene_2462	GPR153	GPR153	Gpr153	GPR153	GPR153
gene_2463	FUT9	FUT9	Fut9	FUT9	FUT9
gene_2464	STMN3	STMN3	Stmn3	STMN3	STMN3
gene_2465	GPD1	GPD1	Gpd1	GPD1	GPD1
gene_2466	HDDC2	HDDC2	Hddc2	HDDC2	HDDC2
gene_2467	STAP1	STAP1	Stap1	STAP1	STAP1
gene_2468	ARFRP1	ARFRP1	Arfrp1	ARFRP1	ARFRP1
gene_2469	RNASE4	RNASE4	Rnase4	RNASE4	RNASE4
gene_2470	ZNF532	ZNF532	Zfp532	ZNF532	ZNF532
gene_2471	RMDN3	RMDN3	Rmdn3	RMDN3	RMDN3
gene_2472	ATP10D	ATP10D	Atp10d	ATP10D	ATP10D
gene_2473	NKAIN2	NKAIN2	Nkain2	NKAIN2	NKAIN2
gene_2474	RNASE6	RNASE6	Rnase6	RNASE6	RNASE6
gene_2475	NCKAP5L	NCKAP5L	Nckap5l	NCKAP5L	NCKAP5L
gene_2476	CLTRN	CLTRN	Cltrn	CLTRN	CLTRN
gene_2477	ATP6V0D2	ATP6V0D2	Atp6v0d2	ATP6V0D2	ATP6V0D2
gene_2478	RNASE1	RNASE1	Rnase1	RNASE1	RNASE1
gene_2479	ITIH1	ITIH1	Itih1	ITIH1	ITIH1
gene_2480	TNFRSF1B	TNFRSF1B	Tnfrsf1b	TNFRSF1B	TNFRSF1B
gene_2481	SNX2	SNX2	Snx2	SNX2	SNX2
gene_2482	HAPLN4	HAPLN4	Hapln4	HAPLN4	HAPLN4
gene_2483	TRPC6	TRPC6	Trpc6	TRPC6	TRPC6
gene_2484	SLC39A2	SLC39A2	Slc39a2	SLC39A2	SLC39A2
gene_2485	KCNQ3	KCNQ3	Kcnq3	KCNQ3	KCNQ3
gene_2486	TPPP2	TPPP2	Tppp2	TPPP2	TPPP2
gene_2487	SHMT2	SHMT2	Shmt2	SHMT2	SHMT2
gene_2488	MOXD1	MOXD1	Moxd1	MOXD1	MOXD1
gene_2489	TMPRSS11D	TMPRSS11D	Tmprss11d	TMPRSS11D	TMPRSS11D
gene_2490	WFIKKN2	WFIKKN2	Wfikkn2	WFIKKN2	WFIKKN2
gene_2491	TSHZ3	TSHZ3	Tshz3	TSHZ3	TSHZ3
gene_2492	ASCC3	ASCC3	Ascc3	ASCC3	ASCC3
gene_2493	SMC1A	SMC1A	Smc1a	SMC1A	SMC1A
gene_2494	ARHGEF40	ARHGEF40	Arhgef40	ARHGEF40	ARHGEF40
gene_2495	C9H10orf120	C10orf120	4933402N03Rik	C14H10orf120	C10orf120
gene_2496	MMD	MMD	Mmd	MMD	MMD
gene_2497	TSHZ1	TSHZ1	Tshz1	TSHZ1	TSHZ1
gene_2498	BUB3	BUB3	Bub3	BUB3	BUB3
gene_2499	APCDD1	APCDD1	Apcdd1	APCDD1	APCDD1
gene_2500	ZGPAT	ZGPAT	Zgpat	ZGPAT	ZGPAT
gene_2501	SLC9A6	SLC9A6	Slc9a6	SLC9A6	SLC9A6
gene_2502	YAP1	YAP1	Yap1	YAP1	YAP1
gene_2503	UBE2Z	UBE2Z	Ube2z	UBE2Z	UBE2Z
gene_2504	NAPG	NAPG	Napg	NAPG	NAPG
gene_2505	ETAA1	ETAA1	Etaa1	ETAA1	ETAA1
gene_2506	STK32A	STK32A	Stk32a	STK32A	STK32A
gene_2507	CENPP	CENPP	Cenpp	CENPP	CENPP
gene_2508	TOX	TOX	Tox	TOX	TOX
gene_2509	OGN	OGN	Ogn	OGN	OGN
gene_2510	ASAP1	ASAP1	Asap1	ASAP1	ASAP1
gene_2511	PDCD2L	PDCD2L	Pdcd2l	PDCD2L	PDCD2L
gene_2512	SP6	SP6	Sp6	SP6	SP6
gene_2513	PLA2G5	PLA2G5	Pla2g5	PLA2G5	PLA2G5
gene_2514	CD207	CD207	Cd207	CD207	CD207
gene_2515	PPP2R2C	PPP2R2C	Ppp2r2c	PPP2R2C	PPP2R2C
gene_2516	DNAAF10	DNAAF10	Dnaaf10	DNAAF10	DNAAF10
gene_2517	ASPN	ASPN	Aspn	ASPN	ASPN
gene_2518	CTBP2	CTBP2	Ctbp2	CTBP2	CTBP2
gene_2519	RHOBTB3	RHOBTB3	Rhobtb3	RHOBTB3	RHOBTB3
gene_2520	SOCS6	SOCS6	Socs6	SOCS6	SOCS6
gene_2521	PTPRU	PTPRU	Ptpru	PTPRU	PTPRU
gene_2522	CHST8	CHST8	Chst8	CHST8	CHST8
gene_2523	KIF15	KIF15	Kif15	KIF15	KIF15
gene_2524	ESCO1	ESCO1	Esco1	ESCO1	ESCO1
gene_2525	IPPK	IPPK	Ippk	IPPK	IPPK
gene_2526	KDM2A	KDM2A	Kdm2a	KDM2A	KDM2A
gene_2527	COPZ2	COPZ2	Copz2	COPZ2	COPZ2
gene_2528	PPP1R14C	PPP1R14C	Ppp1r14c	PPP1R14C	PPP1R14C
gene_2529	MYZAP	MYZAP	Myzap	MYZAP	MYZAP
gene_2530	SNRPD1	SNRPD1	Snrpd1	SNRPD1	SNRPD1
gene_2531	ABHD3	ABHD3	Abhd3	ABHD3	ABHD3
gene_2532	EVA1A	EVA1A	Eva1a	EVA1A	EVA1A
gene_2533	KIF27	KIF27	Kif27	KIF27	KIF27
gene_2534	PACRGL	PACRGL	5730480H06Rik	PACRGL	PACRGL
gene_2535	CTNNA1	CTNNA1	Ctnna1	CTNNA1	CTNNA1
gene_2536	KDSR	KDSR	Kdsr	KDSR	KDSR
gene_2537	ABCC3	ABCC3	Abcc3	ABCC3	ABCC3
gene_2538	HNRNPLL	HNRNPLL	Hnrnpll	HNRNPLL	HNRNPLL
gene_2539	MAL2	MAL2	Mal2	MAL2	MAL2
gene_2540	FAM91A1	FAM91A1	Fam91a1	FAM91A1	FAM91A1
gene_2541	RASL10A	RASL10A	Rasl10a	RASL10A	RASL10A
gene_2542	SNORD125	SNORD125	Gm24958	SNORD125	SNORD125
gene_2543	C15H9orf64	C9orf64	2210016F16Rik	C9orf64	C9orf64
gene_2544	EDRF1	EDRF1	Edrf1	EDRF1	EDRF1
gene_2545	STK26	STK26	Stk26	STK26	STK26
gene_2546	NEFH	NEFH	Nefh	NEFH	NEFH
gene_2547	CHRNA5	CHRNA5	Chrna5	CHRNA5	CHRNA5
gene_2548	THOC5	THOC5	Thoc5	THOC5	THOC5
gene_2549	HNRNPK	HNRNPK	Hnrnpk	HNRNPK	HNRNPK
gene_2550	VPS4B	VPS4B	Vps4b	VPS4B	VPS4B
gene_2551	TRMT61A	TRMT61A	Trmt61a	TRMT61A	TRMT61A
gene_2552	XRCC3	XRCC3	Xrcc3	XRCC3	XRCC3
gene_2553	GLS2	GLS2	Gls2	GLS2	GLS2
gene_2554	IGDCC3	IGDCC3	Igdcc3	IGDCC3	IGDCC3
gene_2555	SLA	SLA	Sla	SLA	SLA
gene_2556	SERPINB5	SERPINB5	Serpinb5	SERPINB5	SERPINB5
gene_2557	WDR61	WDR61	Wdr61	WDR61	WDR61
gene_2558	EFHC1	EFHC1	Efhc1	EFHC1	EFHC1
gene_2559	EXPH5	EXPH5	Exph5	EXPH5	EXPH5
gene_2560	SMIM4	SMIM4	Smim4	SMIM4	SMIM4
gene_2561	BCL2	BCL2	Bcl2	BCL2	BCL2
gene_2562	RAP2C	RAP2C	Rap2c	RAP2C	RAP2C
gene_2563	PNPT1	PNPT1	Pnpt1	PNPT1	PNPT1
gene_2564	PLP1	PLP1	Plp1	PLP1	PLP1
gene_2565	PDGFD	PDGFD	Pdgfd	PDGFD	PDGFD
gene_2566	CIDEA	CIDEA	Cidea	CIDEA	CIDEA
gene_2567	GJB5	GJB5	Gjb5	GJB5	GJB5
gene_2568	FOXG1	FOXG1	Foxg1	FOXG1	FOXG1
gene_2569	TCERG1L	TCERG1L	Tcerg1l	TCERG1L	TCERG1L
gene_2570	TGFB3	TGFB3	Tgfb3	TGFB3	TGFB3
gene_2571	CUL5	CUL5	Cul5	CUL5	CUL5
gene_2572	TUBB6	TUBB6	Tubb6	TUBB6	TUBB6
gene_2573	GRK5	GRK5	Grk5	GRK5	GRK5
gene_2574	CRABP1	CRABP1	Crabp1	CRABP1	CRABP1
gene_2575	CDCA8	CDCA8	Cdca8	CDCA8	CDCA8
gene_2576	TNFAIP2	TNFAIP2	Tnfaip2	TNFAIP2	TNFAIP2
gene_2577	UACA	UACA	Uaca	UACA	UACA
gene_2578	CPLANE2	CPLANE2	Cplane2	CPLANE2	CPLANE2
gene_2579	NONO	NONO	Nono	NONO	NONO
gene_2580	ZBTB8B	ZBTB8B	Zbtb8b	ZBTB8B	ZBTB8B
gene_2581	RPL22	RPL22	Rpl22	RPL22	RPL22
gene_2582	WNT8B	WNT8B	Wnt8b	WNT8B	WNT8B
gene_2583	NIPSNAP1	NIPSNAP1	Nipsnap1	NIPSNAP1	NIPSNAP1
gene_2584	PREX2	PREX2	Prex2	PREX2	PREX2
gene_2585	RBM27	RBM27	Rbm27	RBM27	RBM27
gene_2586	ITGA3	ITGA3	Itga3	ITGA3	ITGA3
gene_2587	PDE12	PDE12	Pde12	PDE12	PDE12
gene_2588	CCDC172	CCDC172	Ccdc172	CCDC172	CCDC172
gene_2589	SIX2	SIX2	Six2	SIX2	SIX2
gene_2590	RNF207	RNF207	Rnf207	RNF207	RNF207
gene_2591	mml-mir-7-1	MIR7-1	Mir7-1	ssc-mir-7-2	MIR7-1
gene_2592	NF2	NF2	Nf2	NF2	NF2
gene_2593	RGS10	RGS10	Rgs10	RGS10	RGS10
gene_2594	PBRM1	PBRM1	Pbrm1	PBRM1	PBRM1
gene_2595	SIX3	SIX3	Six3	SIX3	SIX3
gene_2596	TESK1	TESK1	Tesk1	TESK1	TESK1
gene_2597	CPXM1	CPXM1	Cpxm1	CPXM1	CPXM1
gene_2598	SLC35F6	SLC35F6	Slc35f6	SLC35F6	SLC35F6
gene_2599	RPAP3	RPAP3	Rpap3	RPAP3	RPAP3
gene_2600	NRG3	NRG3	Nrg3	NRG3	NRG3
gene_2601	PAX7	PAX7	Pax7	PAX7	PAX7
gene_2602	PCED1A	PCED1A	Pced1a	PCED1A	PCED1A
gene_2603	RNMT	RNMT	Rnmt	RNMT	RNMT
gene_2604	POLE4	POLE4	Pole4	POLE4	POLE4
gene_2605	VAX1	VAX1	Vax1	VAX1	VAX1
gene_2606	EGR4	EGR4	Egr4	EGR4	EGR4
gene_2607	INPP5F	INPP5F	Inpp5f	INPP5F	INPP5F
gene_2608	CCDC107	CCDC107	Ccdc107	CCDC107	CCDC107
gene_2609	EXTL1	EXTL1	Extl1	EXTL1	EXTL1
gene_2610	CLMN	CLMN	Clmn	CLMN	CLMN
gene_2611	COLEC10	COLEC10	Colec10	COLEC10	COLEC10
gene_2612	GSX2	GSX2	Gsx2	GSX2	GSX2
gene_2613	MED23	MED23	Med23	MED23	MED23
gene_2614	COMMD4	COMMD4	Commd4	COMMD4	COMMD4
gene_2615	ARHGEF39	ARHGEF39	Arhgef39	ARHGEF39	ARHGEF39
gene_2616	VPS16	VPS16	Vps16	VPS16	VPS16
gene_2617	TPM2	TPM2	Tpm2	TPM2	TPM2
gene_2618	CPNE8	CPNE8	Cpne8	CPNE8	CPNE8
gene_2619	PDCL2	PDCL2	Pdcl2	PDCL2	PDCL2
gene_2620	PPP2R1B	PPP2R1B	Ppp2r1b	PPP2R1B	PPP2R1B
gene_2621	AGMAT	AGMAT	Agmat	AGMAT	AGMAT
gene_2622	THG1L	THG1L	Thg1l	THG1L	THG1L
gene_2623	EMILIN2	EMILIN2	Emilin2	EMILIN2	EMILIN2
gene_2624	TMEM179	TMEM179	Tmem179	TMEM179	TMEM179
gene_2625	ADAMTS3	ADAMTS3	Adamts3	ADAMTS3	ADAMTS3
gene_2626	SIVA1	SIVA1	Siva1	SIVA1	SIVA1
gene_2627	CLEC4F	CLEC4F	Clec4f	CLEC4F	CLEC4F
gene_2628	PELO	PELO	Pelo	PELO	PELO
gene_2629	TRUB1	TRUB1	Trub1	TRUB1	TRUB1
gene_2630	EIF2AK1	EIF2AK1	Eif2ak1	EIF2AK1	EIF2AK1
gene_2631	PANK3	PANK3	Pank3	PANK3	PANK3
gene_2632	ADD3	ADD3	Add3	ADD3	ADD3
gene_2633	ASB3	ASB3	Asb3	ASB3	ASB3
gene_2634	ZBTB42	ZBTB42	Zbtb42	ZBTB42	ZBTB42
gene_2635	JAKMIP2	JAKMIP2	Jakmip2	JAKMIP2	JAKMIP2
gene_2636	AQP5	AQP5	Aqp5	AQP5	AQP5
gene_2637	TNFAIP8L3	TNFAIP8L3	Tnfaip8l3	TNFAIP8L3	TNFAIP8L3
gene_2638	SLC9B2	SLC9B2	Slc9b2	SLC9B2	SLC9B2
gene_2639	ZC3H14	ZC3H14	Zc3h14	ZC3H14	ZC3H14
gene_2640	DNALI1	DNALI1	Dnali1	DNALI1	DNALI1
gene_2641	TCF15	TCF15	Tcf15	TCF15	TCF15
gene_2642	CELA1	CELA1	Cela1	CELA1	CELA1
gene_2643	RRAGC	RRAGC	Rragc	RRAGC	RRAGC
gene_2644	TLN1	TLN1	Tln1	TLN1	TLN1
gene_2645	SPATA25	SPATA25	Spata25	SPATA25	SPATA25
gene_2646	GRIK3	GRIK3	Grik3	GRIK3	GRIK3
gene_2647	PFKM	PFKM	Pfkm	PFKM	PFKM
gene_2648	TBC1D32	TBC1D32	Tbc1d32	TBC1D32	TBC1D32
gene_2649	MIOS	MIOS	Mios	MIOS	MIOS
gene_2650	DSC1	DSC1	Dsc1	DSC1	DSC1
gene_2651	TADA2B	TADA2B	Tada2b	TADA2B	TADA2B
gene_2652	EPAS1	EPAS1	Epas1	EPAS1	EPAS1
gene_2653	PLA2G2D	PLA2G2D	Pla2g2d	PLA2G2D	PLA2G2D
gene_2654	SNUPN	SNUPN	Snupn	SNUPN	SNUPN
gene_2655	PARM1	PARM1	Parm1	PARM1	PARM1
gene_2656	YRDC	YRDC	Yrdc	YRDC	YRDC
gene_2657	C20orf204	C20orf204	Gm29797	C20orf204	C20orf204
gene_2658	TRIB3	TRIB3	Trib3	TRIB3	TRIB3
gene_2659	TACR3	TACR3	Tacr3	TACR3	TACR3
gene_2660	GUCA2B	GUCA2B	Guca2b	GUCA2B	GUCA2B
gene_2661	RCC2	RCC2	Rcc2	RCC2	RCC2
gene_2662	SRMS	SRMS	Srms	SRMS	SRMS
gene_2663	CDS1	CDS1	Cds1	CDS1	CDS1
gene_2664	CREB3	CREB3	Creb3	CREB3	CREB3
gene_2665	MEOX2	MEOX2	Meox2	MEOX2	MEOX2
gene_2666	DUSP15	DUSP15	Dusp15	DUSP15	DUSP15
gene_2667	CAMKMT	CAMKMT	Camkmt	CAMKMT	CAMKMT
gene_2668	FAM20C	FAM20C	Fam20c	FAM20C	FAM20C
gene_2669	ZFPM2	ZFPM2	Zfpm2	ZFPM2	ZFPM2
gene_2670	PSMA8	PSMA8	Psma8	PSMA8	PSMA8
gene_2671	GBA2	GBA2	Gba2	GBA2	GBA2
gene_2672	CPXM2	CPXM2	Cpxm2	CPXM2	CPXM2
gene_2673	FOXK1	FOXK1	Foxk1	FOXK1	FOXK1
gene_2674	RAB11FIP5	RAB11FIP5	Rab11fip5	RAB11FIP5	RAB11FIP5
gene_2675	BANK1	BANK1	Bank1	BANK1	BANK1
gene_2676	LHFPL2	LHFPL2	Lhfpl2	LHFPL2	LHFPL2
gene_2677	PSMB2	PSMB2	Psmb2	PSMB2	PSMB2
gene_2678	MAN1A1	MAN1A1	Man1a	MAN1A1	MAN1A1
gene_2679	WDR72	WDR72	Wdr72	WDR72	WDR72
gene_2680	ZHX3	ZHX3	Zhx3	ZHX3	ZHX3
gene_2681	STK10	STK10	Stk10	STK10	STK10
gene_2682	PPP4R1	PPP4R1	Ppp4r1	PPP4R1	PPP4R1
gene_2683	GPR158	GPR158	Gpr158	GPR158	GPR158
gene_2684	ADD2	ADD2	Add2	ADD2	ADD2
gene_2685	CASP9	CASP9	Casp9	CASP9	CASP9
gene_2686	SQLE	SQLE	Sqle	SQLE	SQLE
gene_2687	RGP1	RGP1	Rgp1	RGP1	RGP1
gene_2688	DNMBP	DNMBP	Dnmbp	DNMBP	DNMBP
gene_2689	MACROD2	MACROD2	Macrod2	MACROD2	MACROD2
gene_2690	MSMP	MSMP	Msmp	MSMP	MSMP
gene_2691	SMARCC1	SMARCC1	Smarcc1	SMARCC1	SMARCC1
gene_2692	SPAG8	SPAG8	Spag8	SPAG8	SPAG8
gene_2693	CDK19	CDK19	Cdk19	CDK19	CDK19
gene_2694	MTMR12	MTMR12	Mtmr12	MTMR12	MTMR12
gene_2695	ELMOD1	ELMOD1	Elmod1	ELMOD1	ELMOD1
gene_2696	SDC2	SDC2	Sdc2	SDC2	SDC2
gene_2697	MMS19	MMS19	Mms19	MMS19	MMS19
gene_2698	SCAPER	SCAPER	Scaper	SCAPER	SCAPER
gene_2699	DLGAP4	DLGAP4	Dlgap4	DLGAP4	DLGAP4
gene_2700	DSCAML1	DSCAML1	Dscaml1	DSCAML1	DSCAML1
gene_2701	SUN1	SUN1	Sun1	SUN1	SUN1
gene_2702	TMEM8B	TMEM8B	Tmem8b	TMEM8B	TMEM8B
gene_2703	LMBRD1	LMBRD1	Lmbrd1	LMBRD1	LMBRD1
gene_2704	NFATC1	NFATC1	Nfatc1	NFATC1	NFATC1
gene_2705	CRTAP	CRTAP	Crtap	CRTAP	CRTAP
gene_2706	RAB40C	RAB40C	Rab40c	RAB40C	RAB40C
gene_2707	PKHD1L1	PKHD1L1	Pkhd1l1	PKHD1L1	PKHD1L1
gene_2708	THRAP3	THRAP3	Thrap3	THRAP3	THRAP3
gene_2709	DPYSL3	DPYSL3	Dpysl3	DPYSL3	DPYSL3
gene_2710	GPAT3	GPAT3	Gpat3	GPAT3	GPAT3
gene_2711	CNTN4	CNTN4	Cntn4	CNTN4	CNTN4
gene_2712	TASL	TASL	Tasl	TASL	TASL
gene_2713	LZTS3	LZTS3	Lzts3	LZTS3	LZTS3
gene_2714	PCYT1B	PCYT1B	Pcyt1b	PCYT1B	PCYT1B
gene_2715	TMEM74B	TMEM74B	Tmem74b	TMEM74B	TMEM74B
gene_2716	FLYWCH2	FLYWCH2	Flywch2	FLYWCH2	FLYWCH2
gene_2717	FAM221B	FAM221B	Fam221b	FAM221B	FAM221B
gene_2718	PTPRA	PTPRA	Ptpra	PTPRA	PTPRA
gene_2719	PADI6	PADI6	Padi6	PADI6	PADI6
gene_2720	POLA1	POLA1	Pola1	POLA1	POLA1
gene_2721	PADI4	PADI4	Padi4	PADI4	PADI4
gene_2722	MLLT3	MLLT3	Mllt3	MLLT3	MLLT3
gene_2723	LSM11	LSM11	Lsm11	LSM11	LSM11
gene_2724	TTC8	TTC8	Ttc8	TTC8	TTC8
gene_2725	FAM234A	FAM234A	Fam234a	FAM234A	FAM234A
gene_2726	EFCAB9	EFCAB9	Efcab9	EFCAB9	EFCAB9
gene_2727	KCMF1	KCMF1	Kcmf1	KCMF1	KCMF1
gene_2728	GRHL2	GRHL2	Grhl2	GRHL2	GRHL2
gene_2729	HYKK	HYKK	Hykk	HYKK	HYKK
gene_2730	BCL11A	BCL11A	Bcl11a	BCL11A	BCL11A
gene_2731	mml-mir-491	MIR491	Mir491	MIR491	MIR491
gene_2732	DNAJC17	DNAJC17	Dnajc17	DNAJC17	DNAJC17
gene_2733	TBC1D10A	TBC1D10A	Tbc1d10a	TBC1D10A	TBC1D10A
gene_2734	HYAL2	HYAL2	Hyal2	HYAL2	HYAL2
gene_2735	SMPDL3A	SMPDL3A	Smpdl3a	SMPDL3A	SMPDL3A
gene_2736	HOXB8	HOXB8	Hoxb8	HOXB8	HOXB8
gene_2737	RHPN1	RHPN1	Rhpn1	RHPN1	RHPN1
gene_2738	GAST	GAST	Gast	GAST	GAST
gene_2739	FHL3	FHL3	Fhl3	FHL3	FHL3
gene_2740	HECA	HECA	Heca	HECA	HECA
gene_2741	UTP18	UTP18	Utp18	UTP18	UTP18
gene_2742	TRAPPC3L	TRAPPC3L	Trappc3l	TRAPPC3L	TRAPPC3L
gene_2743	SLC18B1	SLC18B1	Slc18b1	SLC18B1	SLC18B1
gene_2744	ABHD5	ABHD5	Abhd5	ABHD5	ABHD5
gene_2745	LACTB2	LACTB2	Lactb2	LACTB2	LACTB2
gene_2746	RHBDL2	RHBDL2	Rhbdl2	RHBDL2	RHBDL2
gene_2747	NOTO	NOTO	Noto	NOTO	NOTO
gene_2748	TBCK	TBCK	Tbck	TBCK	TBCK
gene_2749	AFAP1L1	AFAP1L1	Afap1l1	AFAP1L1	AFAP1L1
gene_2750	TNFRSF21	TNFRSF21	Tnfrsf21	TNFRSF21	TNFRSF21
gene_2751	ZNF831	ZNF831	Zfp831	ZNF831	ZNF831
gene_2752	USP3	USP3	Usp3	USP3	USP3
gene_2753	INPP5B	INPP5B	Inpp5b	INPP5B	INPP5B
gene_2754	CBFA2T2	CBFA2T2	Cbfa2t2	CBFA2T2	CBFA2T2
gene_2755	ENTPD8	ENTPD8	Entpd8	ENTPD8	ENTPD8
gene_2756	TRAM1	TRAM1	Tram1	TRAM1	TRAM1
gene_2757	SF3A1	SF3A1	Sf3a1	SF3A1	SF3A1
gene_2758	MRPL19	MRPL19	Mrpl19	MRPL19	MRPL19
gene_2759	TUBD1	TUBD1	Tubd1	TUBD1	TUBD1
gene_2760	PNPLA7	PNPLA7	Pnpla7	PNPLA7	PNPLA7
gene_2761	YIPF5	YIPF5	Yipf5	YIPF5	YIPF5
gene_2762	FAM183A	FAM183A	Fam183b	FAM183A	FAM183A
gene_2763	RNF169	RNF169	Rnf169	RNF169	RNF169
gene_2764	RNGTT	RNGTT	Rngtt	RNGTT	RNGTT
gene_2765	ARL3	ARL3	Arl3	ARL3	ARL3
gene_2766	PAIP2B	PAIP2B	Paip2b	PAIP2B	PAIP2B
gene_2767	ZMYM4	ZMYM4	Zmym4	ZMYM4	ZMYM4
gene_2768	NCOA2	NCOA2	Ncoa2	NCOA2	NCOA2
gene_2769	UVRAG	UVRAG	Uvrag	UVRAG	UVRAG
gene_2770	FABP1	FABP1	Fabp1	FABP1	FABP1
gene_2771	SMAGP	SMAGP	Smagp	SMAGP	SMAGP
gene_2772	HPSE2	HPSE2	Hpse2	HPSE2	HPSE2
gene_2773	RNF215	RNF215	Rnf215	RNF215	RNF215
gene_2774	MCC	MCC	Mcc	MCC	MCC
gene_2775	NCAPH	NCAPH	Ncaph	NCAPH	NCAPH
gene_2776	DPH7	DPH7	Dph7	DPH7	DPH7
gene_2777	ENO4	ENO4	Eno4	ENO4	ENO4
gene_2778	SFMBT1	SFMBT1	Sfmbt1	SFMBT1	SFMBT1
gene_2779	RESF1	RESF1	Resf1	RESF1	RESF1
gene_2780	ZNF236	ZNF236	Zfp236	ZNF236	ZNF236
gene_2781	SEC14L2	SEC14L2	Sec14l2	SEC14L2	SEC14L2
gene_2782	OIT3	OIT3	Oit3	OIT3	OIT3
gene_2783	OGFRL1	OGFRL1	Ogfrl1	OGFRL1	OGFRL1
gene_2784	AXIN1	AXIN1	Axin1	AXIN1	AXIN1
gene_2785	NHLRC2	NHLRC2	Nhlrc2	NHLRC2	NHLRC2
gene_2786	RPS6KA2	RPS6KA2	Rps6ka2	RPS6KA2	RPS6KA2
gene_2787	PRDM6	PRDM6	Prdm6	PRDM6	PRDM6
gene_2788	RPS6KB1	RPS6KB1	Rps6kb1	RPS6KB1	RPS6KB1
gene_2789	AASDHPPT	AASDHPPT	Aasdhppt	AASDHPPT	AASDHPPT
gene_2790	EMX2	EMX2	Emx2	EMX2	EMX2
gene_2791	MAPKAPK3	MAPKAPK3	Mapkapk3	MAPKAPK3	MAPKAPK3
gene_2792	CCDC112	CCDC112	Ccdc112	CCDC112	CCDC112
gene_2793	RTKN2	RTKN2	Rtkn2	RTKN2	RTKN2
gene_2794	ARRDC1	ARRDC1	Arrdc1	ARRDC1	ARRDC1
gene_2795	PDZRN4	PDZRN4	Pdzrn4	PDZRN4	PDZRN4
gene_2796	UTP11	UTP11	Utp11	UTP11	UTP11
gene_2797	OPALIN	OPALIN	Opalin	OPALIN	OPALIN
gene_2798	PAPSS1	PAPSS1	Papss1	PAPSS1	PAPSS1
gene_2799	MED21	MED21	Med21	MED21	MED21
gene_2800	C1H1orf216	C1orf216	5730409E04Rik	C1orf216	C1orf216
gene_2801	VGLL3	VGLL3	Vgll3	VGLL3	VGLL3
gene_2802	TRAPPC8	TRAPPC8	Trappc8	TRAPPC8	TRAPPC8
gene_2803	RLF	RLF	Rlf	RLF	RLF
gene_2804	GBE1	GBE1	Gbe1	GBE1	GBE1
gene_2805	PKDCC	PKDCC	Pkdcc	PKDCC	PKDCC
gene_2806	DMRT3	DMRT3	Dmrt3	DMRT3	DMRT3
gene_2807	CLSPN	CLSPN	Clspn	CLSPN	CLSPN
gene_2808	DOCK3	DOCK3	Dock3	DOCK3	DOCK3
gene_2809	ZNF536	ZNF536	Zfp536	ZNF536	ZNF536
gene_2810	CA10	CA10	Car10	CA10	CA10
gene_2811	SEC14L3	SEC14L3	Sec14l3	SEC14L3	SEC14L3
gene_2812	CLNS1A	CLNS1A	Clns1a	CLNS1A	CLNS1A
gene_2813	FCHSD1	FCHSD1	Fchsd1	FCHSD1	FCHSD1
gene_2814	TRAF1	TRAF1	Traf1	TRAF1	TRAF1
gene_2815	COPS4	COPS4	Cops4	COPS4	COPS4
gene_2816	RAB14	RAB14	Rab14	RAB14	RAB14
gene_2817	GXYLT2	GXYLT2	Gxylt2	GXYLT2	GXYLT2
gene_2818	GCH1	GCH1	Gch1	GCH1	GCH1
gene_2819	GSTO2	GSTO2	Gsto2	GSTO2	GSTO2
